article_id,PMID,Id_review_ROBIS,RoB_ROBIS,AMSTAR_consensus,AMSTAR_levels,amstar_robis,Flesch_Kincaid_Reading_Ease_Level,Gunning_Fog_Index,Coleman_Liau_Index,SMOG_Index,Automated_Readability_Index,Average_Grade_Level,Flesch_Kincaid_Reading_Ease_Score,Spache_Score,New_Dale_Chall_Score,Reading_Time,Speaking_Time,PEA1,PEA2,PEA3,PEA4,PEA5,PEA6,PEA7,PEA8,PEA9,PEA10,PEA11,PEA12,total_score,number_of_cites_Google_Scholar,journal,year,Country,num_authors,num_institutions,funding,cochrane_affiliation,funding_academic,funding_industry,funding_non_pharma_companies,conflict_of_interest,conflict_of_interest_authors,countries_authors,page_count,log_page_count,class_of_study,metaanalysis_included,economic_analysis_included,journal_PRISMA_endorsement,abstract_format,abstract_word_count,journal,year,Total cites,journal_impact_factor,Impact factor without,5 year Impact factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-Life,Eigenfacto Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,Average JIF Percentile,Q/D
214,22184718,214,HIGH,9,high_quality,HighRisk_HighQuality,13.5,17.8,16.4,16,14.6,15.7,30,5.4,8.5,100,180,1,1,1,1,0,0,0,1,0,1,0,0,6,29,Archives of Dermatology,2012,United States,5,5,UNK,no,0,0,0,1,20,1,12,3.58,RCTs,Yes,No,no,IMRAD ,258,Archives of Dermatology,2012,12875,4.792,4.428,4.64,0.836,128,>10,7.3,0.01884,1.644,95.31,NA,94.068,D1
291,10411159,291,HIGH,5,moderate_quality,HighRisk_HighQuality,11,15.3,12,14.1,11,12.7,47.6,5.2,7.7,75,136,0,1,0,1,0,1,0,1,0,1,0,0,5,70,Archives of Dermatology,1999,United States,4,3,funding,no,1,0,0,,NA,1,7,2.81,observational studies,No,No,no,IMRAD ,284,Archives of Dermatology,1999,12875,4.792,4.428,4.64,0.836,128,>10,7.3,0.01884,1.644,95.31,NA,94.068,D1
311,26663412,311,HIGH,9,high_quality,HighRisk_HighQuality,16.4,20.6,16.9,17.5,15.6,17.4,11.6,5.8,9.5,66,120,1,1,1,0,0,1,0,1,0,1,0,0,6,0,Arthritis care & research,2016,USA,10,6,No funding,no,0,0,0,1,0,3,11,3.46,RCTSs & observational studies,Yes,No,no,IMRAD ,248,Arthritis care & research,2016,12091,3.229,3.055,4.641,0.635,208,6.3,7.7,0.02899,1.593,97.6,3.30389,64.063,Q2
308,27885553,308,HIGH,6,moderate_quality,HighRisk_HighQuality,16.3,20.1,19,17.3,16.8,17.9,10.7,6.3,9.3,73,132,1,1,0,1,1,1,0,1,0,1,0,0,7,3,BioDrugs,2016,USA,4,2,funding,no,0,1,1,4,100,2,46,5.52,RCTs,No,No,no,IMRAD ,290,BioDrugs,2016,12091,3.229,3.055,4.641,0.635,208,6.3,7.7,0.02899,1.593,97.6,3.30389,64.063,Q2
225,21453459,225,HIGH,5,moderate_quality,HighRisk_HighQuality,13.4,15.8,17.1,16,15.6,15.6,32.1,6.3,9.8,45,81,1,1,1,1,1,1,0,1,0,1,0,0,8,33,BMC medical research methodology,2011,United Kingdom,4,3,funding,no,0,1,0,3,75,1,12,3.58,observational studies,No,No,yes,IMRAD ,302,BMC medical research methodology,2011,,3.059,,,,,,,,,,,,
58,25770113,58,LOW,7,moderate_quality,LowRisk_HighQuality,14.1,17.4,18.7,15,14.9,16,18.9,5.5,10.3,56,101,1,1,1,1,0,1,1,1,0,1,0,0,8,14,BMJ (Online),2015,United Kingdom,5,3,No funding,no,0,0,0,0,0,1,5,2.32,RCTs,Yes,No,yes,IMRAD ,231,BMJ (Online),2015,93118,19.697,18.248,17.687,9.288,250,">10,0",4.7,0.16204,7.43,71.2,18.46,97.742,D1
267,19445765,267,HIGH,7,moderate_quality,HighRisk_HighQuality,17.7,21.3,17.8,18.6,18.2,18.7,10.6,7.3,8.7,37,68,0,1,1,1,1,1,0,0,0,0,0,0,5,19,BMJ clinical evidence,2009,United Kingdom,2,1,UNK,no,0,0,0,2,100,1,109,6.77,RCTs & observational studies,No,No,yes,IMRAD ,305,BMJ clinical evidence,2009,,NA,,,,,,,,,,,,
305,27273146,305,HIGH,7,moderate_quality,HighRisk_HighQuality,11.8,16.5,16.1,15.2,13.3,14.6,38.1,5.8,9,61,65,1,1,0,1,1,1,0,1,0,1,0,0,7,4,British Journal of Dermatology,2017,United Kingdom,7,4,No funding,no,0,0,0,10,100,2,17,4.09,,No,No,no,free,247,British Journal of Dermatology,2017,,NA,,,,,,,,,,,,
6,26833102,6,HIGH,8,moderate_quality,HighRisk_HighQuality,13,16.3,15.5,14.8,12.8,14.5,29.6,4.8,7.4,148,266,1,1,1,0,0,1,1,1,1,1,0,0,8,4,British Journal of Dermatology,2016,United Kingdom,3,2,funding,no,1,0,0,0,0,1,14,3.81,observational studies,Yes,No,no,free,248,British Journal of Dermatology,2016,22215,4.317,3.744,4302,1726,310,8.4,7,0.03553,1.356,85.16,4.09967,92.623,D1
318,27292159,318,HIGH,9,high_quality,HighRisk_HighQuality,12.6,17,15.7,16,15.7,15.4,43.3,6.3,8.7,57,104,1,1,0,0,1,1,1,1,0,1,0,1,8,2,British Journal of Dermatology,2016,Spain,6,2,funding,no,1,0,0,4,66,1,10,3.32,RCTs,Yes,No,no,free,222,British Journal of Dermatology,2016,22215,4.317,3.744,4302,1726,310,8.4,7,0.03553,1.356,85.16,4.09967,92.623,D1
48,27087044,48,LOW,10,high_quality,LowRisk_HighQuality,13,16.6,16.7,15.3,14.9,15.3,34.1,5.5,10.3,92,166,1,1,1,1,0,1,1,1,1,1,0,0,9,0,British Journal of Dermatology,2015,United Kingdom,7,4,funding,no,1,0,1,1,14,2,17,4.09,RCTs,Yes,No,no,free,240,British Journal of Dermatology,2015,22215,4.317,3.744,4.302,1.726,310,8.4,7,0.03553,1.356,85.16,4.04967,92.623,D1
62,25288183,62,HIGH,5,moderate_quality,HighRisk_HighQuality,11.1,16.4,15.7,15.4,14.1,14.5,47.5,5.2,10,58,104,1,1,0,0,0,1,1,1,0,1,0,0,6,10,British Journal of Dermatology,2015,United Kingdom,7,4,funding,no,0,1,0,7,100,2,9,3.17,RCTs,Yes,No,no,IMRAD ,251,British Journal of Dermatology,2015,22215,4.317,3.744,4.302,1.726,310,8.4,7,0.03553,1.356,85.16,4.04967,92.623,D1
66,26280365,66,HIGH,9,high_quality,HighRisk_HighQuality,15.3,19.6,18.2,16.9,15.9,17.2,16.5,5.7,9.2,70,127,1,1,1,0,0,0,1,1,0,1,0,0,6,2,British Journal of Dermatology,2015,United Kingdom,3,1,funding,no,0,1,0,1,33,1,12,3.58,RCTs & observational studies,No,No,no,free,265,British Journal of Dermatology,2015,22215,4.317,3.744,4.302,1.726,310,8.4,7,0.03553,1.356,85.16,4.04967,92.623,D1
106,24131260,106,LOW,6,moderate_quality,LowRisk_HighQuality,13.6,18.5,17.6,16.1,14.8,16.1,26.8,5.4,9.8,64,116,1,1,0,0,0,1,1,1,0,1,0,0,6,61,British Journal of Dermatology,2014,United Kingdom,6,3,No funding,no,0,0,0,4,66,1,30,4.91,RCTs,Yes,No,no,free,255,British Journal of Dermatology,2014,20484,4.275,3.834,3.984,1.065,339,8.3,7.1,0.03247,1.169,85.55,3.6369,91.27,D1
109,24117166,109,HIGH,6,moderate_quality,HighRisk_HighQuality,17.5,20.4,19.2,17.9,17.9,18.6,5.9,5.7,9.6,64,116,1,1,1,1,0,1,1,1,0,1,0,0,8,54,British Journal of Dermatology,2014,United Kingdom,3,1,No funding,no,0,0,0,1,33,1,13,3.7,RCTs & observational studies,No,No,no,free,251,British Journal of Dermatology,2014,20484,4.275,3.834,3.984,1.065,339,8.3,7.1,0.03247,1.169,85.55,3.6369,91.27,D1
120,24606161,120,HIGH,10,high_quality,HighRisk_HighQuality,11.9,16.2,15.9,14.9,12.8,14.3,35.7,5.4,8.7,65,118,1,1,1,1,1,1,1,1,1,1,0,0,10,15,British Journal of Dermatology,2014,United Kingdom,6,5,funding,no,1,0,0,0,0,1,13,3.7,observational studies,No,No,no,free,255,British Journal of Dermatology,2014,20484,4.275,3.834,3.984,1.065,339,8.3,7.1,0.03247,1.169,85.55,3.6369,91.27,D1
148,23909714,148,HIGH,8,moderate_quality,HighRisk_HighQuality,15.1,17.7,17.5,15.8,14.5,16.1,14.7,5.9,9.5,54,97,1,1,1,1,1,1,1,1,1,1,0,0,10,16,British Journal of Dermatology,2013,United Kingdom,5,2,funding,no,1,0,0,0,0,2,14,3.81,RCTs,Yes,No,no,free,264,British Journal of Dermatology,2013,20604,4.1,3.605,4.137,1.308,341,8.1,6.6,0.03434,1.186,85.92,3.78498,89.344,Q1
171,23413913,171,HIGH,7,moderate_quality,HighRisk_HighQuality,14.9,19.2,18.1,16.4,15.4,16.8,17.6,5.7,8.4,61,110,1,1,0,0,0,1,0,1,1,1,0,0,6,35,British Journal of Dermatology,2013,United Kingdom,5,4,funding,no,1,0,0,0,0,1,14,3.81,,Yes,No,no,free,280,British Journal of Dermatology,2013,20604,4.1,3.605,4.137,1.308,341,8.1,6.6,0.03434,1.186,85.92,3.78498,89.344,Q1
188,22963128,188,HIGH,5,moderate_quality,HighRisk_HighQuality,11.8,16.1,13.6,14.9,12,13.7,40.4,5.5,9.6,85,154,1,1,0,1,0,1,0,1,0,1,0,0,6,50,British Journal of Dermatology,2013,United Kingdom,5,2,funding,no,0,0,1,0,0,1,12,3.58,RCTs & observational studies,No,No,no,free,226,British Journal of Dermatology,2013,20604,4.1,3.605,4.137,1.308,341,8.1,6.6,0.03434,1.186,85.92,3.78498,89.344,Q1
302,23796133,302,HIGH,8,moderate_quality,HighRisk_HighQuality,16.1,19.7,17.8,17.1,16.8,17.5,15.7,6.5,9.4,54,97,1,1,0,1,0,1,0,1,0,1,0,0,6,13,British Journal of Dermatology,2013,United Kingdom,5,4,funding,no,0,1,0,1,20,1,9,3.17,RCTs,Yes,No,no,IMRAD ,238,British Journal of Dermatology,2013,20604,4.1,3.605,4.137,1.308,341,8.1,6.6,0.03434,1.186,85.92,3.78498,89.344,Q1
217,21910698,217,HIGH,7,moderate_quality,HighRisk_HighQuality,19.1,23.3,19.7,19.9,20.7,20.5,3.5,6.6,8.9,81,146,1,1,0,0,1,1,1,1,0,1,0,0,7,124,British Journal of Dermatology,2012,United Kingdom,4,3,funding,no,0,1,0,4,100,2,10,3.32,RCTs,Yes,No,no,IMRAD ,348,British Journal of Dermatology,2012,19868,3.759,3.287,4.162,1.195,354,8,6.7,0.03964,1.307,87.29,NA,92.373,Q1
266,18945303,266,HIGH,6,moderate_quality,HighRisk_HighQuality,13,16.1,15.4,15.4,14,14.8,34.5,5.7,7.7,102,184,1,1,1,1,0,1,1,1,0,1,0,0,8,95,British Journal of Dermatology,2009,United Kingdom,2,1,UNK,no,0,0,0,0,0,1,7,2.81,RCTs & Srs,Yes,No,no,IMRAD ,335,British Journal of Dermatology,2009,17207,4.26,3.621,3.955,0.727,373,7.4,6.6,0.03732,1.044,92.49,NA,92.708,D1
268,18627372,268,HIGH,6,moderate_quality,HighRisk_HighQuality,15.1,19.4,14.1,17.3,16.2,16.4,31.8,5.3,8.1,24,476,1,1,0,1,0,1,1,1,0,1,0,0,7,171,British Journal of Dermatology,2008,United Kingdom,5,2,No funding,no,0,0,0,3,60,1,14,3.81,RCTs,Yes,No,no,IMRAD ,280,British Journal of Dermatology,2008,16437,3.489,3.063,3.64,0.761,330,7.6,6.9,0.03615,0.932,93.94,NA,91.86,D1
269,18547300,269,HIGH,6,moderate_quality,HighRisk_HighQuality,18,21.8,20,16.9,15.8,18.5,-8.8,6.7,8.2,11,20,1,1,1,0,0,1,1,1,0,1,0,0,7,141,British Journal of Dermatology,2008,United Kingdom,5,4,UNK,no,0,0,0,1,20,1,12,3.58,RCTs,Yes,No,no,IMRAD ,347,British Journal of Dermatology,2008,16437,3.489,3.063,3.64,0.761,330,7.6,6.9,0.03615,0.932,93.94,NA,91.86,D1
284,12100194,284,HIGH,6,moderate_quality,HighRisk_HighQuality,15.2,19.2,18,16.7,16.4,17.1,19.8,5.3,8.6,76,136,1,1,1,0,0,1,1,1,0,1,0,0,7,30,British Journal of Dermatology,2002,United Kingdom,6,5,UNK,no,0,0,0,,NA,1,8,3,,No,No,no,IMRAD ,328,British Journal of Dermatology,2002,11364,2.696,2.379,NA,0.536,360,6.8,7,NA,NA,96.11,NA,93.75,NA
285,11952534,285,HIGH,7,moderate_quality,HighRisk_HighQuality,15.6,16.6,17.8,16.8,16.4,16.6,17.5,6,9.6,67,121,1,1,1,1,0,1,1,1,0,1,0,0,8,166,British Journal of Dermatology,2002,United Kingdom,3,3,UNK,no,0,0,0,,NA,1,14,3.81,RCTs,Yes,No,no,IMRAD ,331,British Journal of Dermatology,2002,11364,2.696,2.379,NA,0.536,360,6.8,7,NA,NA,96.11,NA,93.75,NA
286,11899141,286,HIGH,2,low_quality,HighRisk_LowQuality,18.3,19.2,19,18.2,18.6,18.7,3.6,5.9,9.1,89,160,1,1,0,1,0,1,0,1,0,1,0,0,6,32,British Journal of Dermatology,2001,United Kingdom,4,1,funding,no,0,1,0,1,25,1,4,2,RCTs,No,No,no,IMRAD ,239,British Journal of Dermatology,2001,11287,2.405,2.027,NA,0.49,349,6.9,7.1,NA,NA,96.85,NA,88.158,NA
287,11899140,287,HIGH,3,low_quality,HighRisk_LowQuality,13.8,18.2,12.1,16.2,14.5,15,41,6,7.9,74,133,1,1,1,1,0,1,0,1,0,1,0,0,7,91,British Journal of Dermatology,2001,United Kingdom,4,1,funding,no,0,1,0,1,25,1,5,2.32,RCTs,No,No,no,IMRAD ,250,British Journal of Dermatology,2001,11287,2.405,2.027,NA,0.49,349,6.9,7.1,NA,NA,96.85,NA,88.158,NA
288,11115167,288,HIGH,6,moderate_quality,HighRisk_HighQuality,12.2,17,15.2,15.3,14,14.7,41.4,5.9,9.1,55,99,0,1,0,0,0,1,1,1,0,1,0,0,5,47,British Journal of Dermatology,2001,United Kingdom,4,4,funding,no,0,1,0,4,100,1,8,3,RCTs,Yes,No,no,IMRAD ,420,British Journal of Dermatology,2001,11287,2.405,2.027,NA,0.49,349,6.9,7.1,NA,NA,96.85,NA,88.158,NA
294,9470912,294,HIGH,5,moderate_quality,HighRisk_HighQuality,11.1,15.8,14.7,14.4,12.5,13.7,44.4,5.7,9,55,100,1,1,0,1,0,1,0,1,0,1,0,0,6,137,British Journal of Dermatology,1997,United Kingdom,4,1,UNK,no,0,0,0,,NA,1,8,3,RCTs & observational studies,No,No,no,free,222,British Journal of Dermatology,1997,8535,1.838,1.564,NA,0.216,315,7.6,6.9,NA,NA,97.14,NA,85.938,NA
290,10753146,290,HIGH,7,moderate_quality,HighRisk_HighQuality,15.5,18.9,18.3,16.9,16.8,17.3,19,5.5,8.7,78,140,1,1,0,0,0,1,1,1,0,1,0,0,6,132,British Medical Journal,2000,United Kingdom,4,3,funding,no,0,1,0,3,75,1,5,2.32,RCTs,Yes,No,yes,8-headings,309,British Medical Journal,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,25402246,146,HIGH,8,moderate_quality,HighRisk_HighQuality,13.1,16.7,16.1,15.5,14.8,15.2,34.9,5.2,8.1,165,297,1,0,0,0,0,1,0,1,0,1,0,0,4,2,Cadernos de saude publica,2013,Brazil,8,1,UNK,no,0,0,0,0,0,1,15,3.91,RCTs,Yes,No,no,free,169,Cadernos de saude publica,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,22466949,215,HIGH,5,moderate_quality,HighRisk_HighQuality,12.8,17.2,17.1,15.1,14,15.2,29.9,5,7.9,80,144,1,1,1,1,1,1,1,1,0,1,0,0,9,15,CHINESE JOURNAL OF INTEGRATIVE MEDICINE�,2012,China,5,3,funding,no,1,0,0,,0,1,8,3,RCTs,Yes,No,no,IMRAD ,280,CHINESE JOURNAL OF INTEGRATIVE MEDICINE�,2012,514,1.059,0.95,1.032,0.168,131,3,7.3,0.00102,0.143,88.55,NA,43.182,Q3
44,26413149,44,LOW,7,moderate_quality,LowRisk_HighQuality,7.7,13.2,12.1,12.9,9.8,11.1,66.2,4.7,9.5,78,141,1,1,0,1,1,1,1,1,0,1,0,0,8,1,Chinese Medicine (United Kingdom),2015,United Kingdom,8,5,funding,no,1,0,0,0,0,1,14,3.81,RCTs,Yes,No,yes,IMRAD ,340,Chinese Medicine (United Kingdom),2015,546,1.58,1.52,NA,0.184,38,4.9,7,0.00134,NA,84.21,0.15279,440.32,Q2
111,25039593,111,HIGH,9,high_quality,HighRisk_HighQuality,12.1,15.9,13.4,15.2,12.5,13.8,41.4,5.4,7.6,80,144,1,1,0,0,1,1,1,1,0,1,0,0,7,10,Clinical and Experimental Dermatology,2014,United Kingdom,9,3,funding,no,1,0,0,0,0,1,16,4,RCTs,Yes,No,no,IMRAD ,319,Clinical and Experimental Dermatology,2014,3930,1.234,1.195,1.337,0.202,173,8.2,8.6,0.00716,0.389,94.22,0.78876,33.607,Q3
3,27300248,3,LOW,8,moderate_quality,LowRisk_HighQuality,9.1,15.1,13.8,14.3,13.4,13.1,65.3,5.4,10.1,58,105,1,1,1,1,0,0,1,1,0,1,0,0,7,0,Clinical Reviews in Allergy and Immunology,2016,United States,4,3,funding,no,1,0,0,0,0,1,8,3,RCTs,Yes,No,no,free,273,Clinical Reviews in Allergy and Immunology,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,26915340,21,LOW,11,high_quality,LowRisk_HighQuality,10.9,16.6,14.5,15.1,13.7,14.2,51,4.7,8.5,235,424,0,1,1,1,1,1,1,1,0,1,0,0,8,2,Cochrane Database of Systematic Reviews,2016,United Kingdom,7,4,funding,yes,1,0,0,6,85,3,260,8.02,RCTs,Yes,No,yes,8-headings,989,Cochrane Database of Systematic Reviews,2016,47899,6.103,5.748,6.665,0.94,755,4.8,10,0.15836,2.46,0.13,18.05,92.581,D1
321,26598969,321,LOW,11,high_quality,LowRisk_HighQuality,13.5,17,14.4,16.2,14.9,15.2,38.2,5.6,8.2,196,353,1,0,1,1,1,1,1,1,1,1,0,0,8,7,Cochrane Database of Systematic Reviews,2016,United Kingdom,5,6,No funding,yes,0,0,0,0,0,2,37,5.21,RCTs,No,No,no,8-headings,780,Cochrane Database of Systematic Reviews,2016,47899,6.103,5.748,6.665,0.94,755,4.8,10,0.15836,2.46,0.13,18.05,92.581,D1
323,10796842,323,LOW,7,moderate_quality,LowRisk_HighQuality,15.6,16.6,18.6,15.7,15.2,16.3,10.1,5.2,9,92,167,1,0,1,1,1,0,1,0,1,1,0,0,6,69,Cochrane Database of Systematic Reviews,2015,United Kingdom,4,3,No funding,yes,0,0,0,0,0,1,13,3.7,RCTs,No,No,yes,8-headings,353,Cochrane Database of Systematic Reviews,2015,,6.013,,,,,,,,,,,,
324,26258748,324,LOW,11,high_quality,LowRisk_HighQuality,12.1,16.7,15.1,15.5,14.2,14.7,42.7,4.9,8.5,216,372,1,0,1,1,1,1,1,1,1,1,0,0,8,13,Cochrane Database of Systematic Reviews,2015,United Kingdom,6,4,funding,yes,1,0,0,1,16,1,65,6.02,RCTs,No,No,yes,8-headings,836,Cochrane Database of Systematic Reviews,2015,,6.013,,,,,,,,,,,,
325,10796758,325,HIGH,9,high_quality,HighRisk_HighQuality,13.5,14.6,17.6,14.6,13.7,14.8,22.2,5.4,9.5,71,128,1,0,1,1,1,0,1,1,1,1,0,0,8,20,Cochrane Database of Systematic Reviews,2015,United Kingdom,4,3,No funding,yes,0,0,0,0,0,1,13,3.7,RCTs,No,No,yes,8-headings,274,Cochrane Database of Systematic Reviews,2015,,6.013,,,,,,,,,,,,
164,23543539,164,LOW,10,high_quality,LowRisk_HighQuality,14.6,18.9,16,16.4,14.2,16,22.2,5.5,7.9,76,136,0,1,1,1,1,1,1,1,0,1,0,0,8,103,Cochrane Database of Systematic Reviews,2013,United Kingdom,5,5,funding,yes,1,0,1,1,20,1,805,9.65,RCTs,Yes,No,yes,8-headings,796,Cochrane Database of Systematic Reviews,2013,,5.939,,,,,,,,,,,,
